date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:29:58	6232/6232	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2001%20May%202025%2021:59:57%20GMT	https://klub-ada.si/robots.txt		(from )
03:29:58	74845/74845	---MCZ	200	added ('OK')	text/html	etag:%226rhf40y6rk1ln1%22	https://klub-ada.si/	./klub-ada-site/klub-ada.si/index.html	(from )
03:29:58	24688/24688	---M--	200	added ('OK')	font/woff2	etag:W/%226070-195c6f76d38%22	https://klub-ada.si/_next/static/media/3f898e72193d6e10-s.p.woff2	./klub-ada-site/klub-ada.si/_next/static/media/3f898e72193d6e10-s.p.woff2	(from https://klub-ada.si/)
03:30:00	23322/23322	---MCZ	200	added ('OK')	text/css	etag:W/%225b1a-195c6f76d38%22	https://klub-ada.si/_next/static/css/fe96bb515dc0e17c.css	./klub-ada-site/klub-ada.si/_next/static/css/fe96bb515dc0e17c.css	(from https://klub-ada.si/)
03:30:00	3904/3904	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f40-195c6f76d38%22	https://klub-ada.si/_next/static/chunks/webpack-0426ab729e1a96b0.js	./klub-ada-site/klub-ada.si/_next/static/chunks/webpack-0426ab729e1a96b0.js	(from https://klub-ada.si/)
03:30:02	167096/167096	---MCZ	200	added ('OK')	application/javascript	etag:W/%2228cb8-195c6f76d38%22	https://klub-ada.si/_next/static/chunks/4bd1b696-062c2cbc74715301.js	./klub-ada-site/klub-ada.si/_next/static/chunks/4bd1b696-062c2cbc74715301.js	(from https://klub-ada.si/)
03:30:03	200677/200677	---MCZ	200	added ('OK')	application/javascript	etag:W/%2230fe5-195c6f76d38%22	https://klub-ada.si/_next/static/chunks/1517-732cb3d8ff31f7c9.js	./klub-ada-site/klub-ada.si/_next/static/chunks/1517-732cb3d8ff31f7c9.js	(from https://klub-ada.si/)
03:30:03	476/476	---M--	200	added ('OK')	application/javascript	etag:W/%221dc-195c6f76d38%22	https://klub-ada.si/_next/static/chunks/main-app-2e5788c1099c469f.js	./klub-ada-site/klub-ada.si/_next/static/chunks/main-app-2e5788c1099c469f.js	(from https://klub-ada.si/)
03:30:04	8971/8971	---MCZ	200	added ('OK')	application/javascript	etag:W/%22230b-195c6f76d38%22	https://klub-ada.si/_next/static/chunks/app/layout-5bc8a5a2b477dd22.js	./klub-ada-site/klub-ada.si/_next/static/chunks/app/layout-5bc8a5a2b477dd22.js	(from https://klub-ada.si/)
03:30:06	14275/14275	---MCZ	200	added ('OK')	application/javascript	etag:W/%2237c3-195c6f76d38%22	https://klub-ada.si/_next/static/chunks/7970-46b4e043c733c515.js	./klub-ada-site/klub-ada.si/_next/static/chunks/7970-46b4e043c733c515.js	(from https://klub-ada.si/)
03:30:07	35300/35300	---MCZ	200	added ('OK')	application/javascript	etag:W/%2289e4-195c6f76d38%22	https://klub-ada.si/_next/static/chunks/6566-6ad38edc8cf9e9f8.js	./klub-ada-site/klub-ada.si/_next/static/chunks/6566-6ad38edc8cf9e9f8.js	(from https://klub-ada.si/)
03:30:08	96638/96638	---MCZ	200	added ('OK')	application/javascript	etag:W/%221797e-195c6f76d38%22	https://klub-ada.si/_next/static/chunks/2101-2be000aaacb04b38.js	./klub-ada-site/klub-ada.si/_next/static/chunks/2101-2be000aaacb04b38.js	(from https://klub-ada.si/)
03:30:09	33337/33337	---MCZ	200	added ('OK')	application/javascript	etag:W/%228239-195c6f76d38%22	https://klub-ada.si/_next/static/chunks/7586-7bfbcad22a36a40a.js	./klub-ada-site/klub-ada.si/_next/static/chunks/7586-7bfbcad22a36a40a.js	(from https://klub-ada.si/)
03:30:10	10550/10550	---MCZ	200	added ('OK')	application/javascript	etag:W/%222936-195c6f76d38%22	https://klub-ada.si/_next/static/chunks/860-7e10a3d7729afce6.js	./klub-ada-site/klub-ada.si/_next/static/chunks/860-7e10a3d7729afce6.js	(from https://klub-ada.si/)
03:30:10	10910/10910	---MCZ	200	added ('OK')	application/javascript	etag:W/%222a9e-195c6f76d38%22	https://klub-ada.si/_next/static/chunks/app/(website)/page-f01804ecfc79c032.js	./klub-ada-site/klub-ada.si/_next/static/chunks/app/(website)/page-f01804ecfc79c032.js	(from https://klub-ada.si/)
03:30:11	5120/5120	---MCZ	200	added ('OK')	application/javascript	etag:W/%221400-195c6f76d38%22	https://klub-ada.si/_next/static/chunks/app/(website)/layout-4fc5b6f948b04a94.js	./klub-ada-site/klub-ada.si/_next/static/chunks/app/(website)/layout-4fc5b6f948b04a94.js	(from https://klub-ada.si/)
03:30:13	15406/15406	---MC-	200	added ('OK')	image/x-icon	date:Thu,%2001%20May%202025%2022:00:12%20GMT	https://klub-ada.si/favicon.ico	./klub-ada-site/klub-ada.si/favicon.ico	(from https://klub-ada.si/)
03:30:14	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%221b7d2-195c6f76d38%22	https://klub-ada.si/_next/static/chunks/polyfills-42372ed130431b0a.js	./klub-ada-site/klub-ada.si/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://klub-ada.si/)
03:30:15	17815/17815	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224597-195c6f5b3d0%22	https://klub-ada.si/assets/klub-ada-logo.svg	./klub-ada-site/klub-ada.si/assets/klub-ada-logo.svg	(from https://klub-ada.si/)
03:30:16	42138/42138	---MCZ	200	added ('OK')	text/html	etag:%22gdqu8cp6buwh6%22	https://klub-ada.si/o-nas	./klub-ada-site/klub-ada.si/o-nas.html	(from https://klub-ada.si/)
03:30:17	31344/31344	---MCZ	200	added ('OK')	text/html	etag:%22fulvq10ggco5x%22	https://klub-ada.si/blog	./klub-ada-site/klub-ada.si/blog.html	(from https://klub-ada.si/)
03:30:18	59456/59456	---MCZ	200	added ('OK')	text/html	etag:%224evngfo88c19th%22	https://klub-ada.si/partnerstvo	./klub-ada-site/klub-ada.si/partnerstvo.html	(from https://klub-ada.si/)
03:30:19	41951/41951	---MCZ	200	added ('OK')	text/html	etag:%22ltitceotsjwcl%22	https://klub-ada.si/dogodki	./klub-ada-site/klub-ada.si/dogodki.html	(from https://klub-ada.si/)
03:30:20	655/655	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2001%20May%202025%2022:00:20%20GMT	https://klub-ada.si/%22data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20320%20240'%3E%3Cfilter%20id='b'%20color-interpolation-filters='sRGB'%3E%3CfeGaussianBlur%20stdDeviation='20'/%3E%3CfeColorMatrix%20values='1%200%200%200%200%200%201%200%200%200%200%200%201%200%200%200%200%200%20100%20-1'%20result='s'/%3E%3CfeFlood%20x='0'%20y='0'%20width='100%25'%20height='100%25'/%3E%3CfeComposite%20operator='out'%20in='s'/%3E%3CfeComposite%20in2='SourceGraphic'/%3E%3CfeGaussianBlur%20stdDeviation='20'/%3E%3C/filter%3E%3Cimage%20width='100%25'%20height='100%25'%20x='0'%20y='0'%20preserveAspectRatio='none'%20style='filter:%20url(%23b	./klub-ada-site/klub-ada.si/_data_image/svg+xml;charset=utf-8,_svg%20xmlns='http_/www.w3.org/2000/svg'%20viewBox='0%200%20320%20240'__filter%20id='b'%20color/__feColorMatrix%20values='1%200%200%200%200%200%201%200%200%200%200%200/__feFlood%20x='0'%20y='0/filter__image%20width='10	(from https://klub-ada.si/)
03:30:20	305593/305593	---M--	200	added ('OK')	image/jpeg	etag:f1oqZrqsMe6p5j_ezaxursgFw11ENZi8wRnKcycAJ9o	https://klub-ada.si/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhero.196594c9.webp&w=1920&q=75	./klub-ada-site/klub-ada.si/_next/hero1f15.jpeg	(from https://klub-ada.si/)
03:30:21	95200/95200	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22173e0-195c6f5b3d0%22	https://klub-ada.si/assets/logo-impact-hub-lj.svg	./klub-ada-site/klub-ada.si/assets/logo-impact-hub-lj.svg	(from https://klub-ada.si/)
03:30:21	2726/2726	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22aa6-195c6f5b3d0%22	https://klub-ada.si/assets/logo-celtra.svg	./klub-ada-site/klub-ada.si/assets/logo-celtra.svg	(from https://klub-ada.si/)
03:30:23	5012/5012	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221394-195c6f5b3d0%22	https://klub-ada.si/assets/logo-dewesoft.svg	./klub-ada-site/klub-ada.si/assets/logo-dewesoft.svg	(from https://klub-ada.si/)
03:30:24	642674/642674	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229ce72-195c6f5b3d0%22	https://klub-ada.si/assets/logo-teads.svg	./klub-ada-site/klub-ada.si/assets/logo-teads.svg	(from https://klub-ada.si/)
03:30:25	39410/39410	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2299f2-195c6f5b3d0%22	https://klub-ada.si/assets/logo-fri.svg	./klub-ada-site/klub-ada.si/assets/logo-fri.svg	(from https://klub-ada.si/)
03:30:26	283725/283725	---M--	200	added ('OK')	image/gif	etag:Vy8iNDU0NGQtMTk1YzZmNWIzZDAi	https://klub-ada.si/_next/image?url=%2Fassets%2Floader.gif&w=640&q=75	./klub-ada-site/klub-ada.si/_next/loader6499.gif	(from https://klub-ada.si/)
03:30:26	2607/2607	---M--	200	added ('OK')	image/jpeg	etag:Mbuxf-2fZ5Fm-EPxln5_K-tIZ1i2yt2bHm8rlkgEBxo	https://klub-ada.si/_next/image?url=%2Fassets%2Ftamara-stumperger.webp&w=128&q=75	./klub-ada-site/klub-ada.si/_next/tamara-stumpergerbc9e.jpeg	(from https://klub-ada.si/)
03:30:27	2692/2692	---M--	200	added ('OK')	image/jpeg	etag:SWE31j6-dsF3kdava9kzdsS4YiC56bUkVKSwxTBUlDo	https://klub-ada.si/_next/image?url=%2Fassets%2Fmarusa-kerpan.webp&w=128&q=75	./klub-ada-site/klub-ada.si/_next/marusa-kerpand622.jpeg	(from https://klub-ada.si/)
03:30:28	2036/2036	---M--	200	added ('OK')	image/jpeg	etag:bIDlB6VTnQw-2Mk7_DCAo8z2QqQG1PfLKDLoo0d8VzA	https://klub-ada.si/_next/image?url=%2Fassets%2Fjana-vovk.webp&w=128&q=75	./klub-ada-site/klub-ada.si/_next/jana-vovk477a.jpeg	(from https://klub-ada.si/)
03:30:29	1408/1408	---M--	200	added ('OK')	image/jpeg	etag:HaRowzSfxwyvk-jOYxx4dt1xpv_Mthw4gnF4F8_pRQc	https://klub-ada.si/_next/image?url=%2Fassets%2Fnika-likar.webp&w=128&q=75	./klub-ada-site/klub-ada.si/_next/nika-likar1113.jpeg	(from https://klub-ada.si/)
03:30:30	1836/1836	---M--	200	added ('OK')	image/jpeg	etag:jFE_9vyO_or3MUzoOTf_BJUJ1d0k8FHLu68XKjNoIHM	https://klub-ada.si/_next/image?url=%2Fassets%2Ftamara-demir.webp&w=128&q=75	./klub-ada-site/klub-ada.si/_next/tamara-demir3a51.jpeg	(from https://klub-ada.si/)
03:30:32	78739/78739	---M--	200	added ('OK')	image/jpeg	etag:6kwcvPoV4Y2BDYJ1YzPjObf56cu9gfA1Zjc7CaylAbA	https://klub-ada.si/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fdiscord-image.6a00d2e2.webp&w=1920&q=75	./klub-ada-site/klub-ada.si/_next/discord-imagee4f1.jpeg	(from https://klub-ada.si/)
03:30:33	2093/2093	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2282d-195c6f5b3d0%22	https://klub-ada.si/assets/discord-icon.svg	./klub-ada-site/klub-ada.si/assets/discord-icon.svg	(from https://klub-ada.si/)
03:30:33	7336/7336	---M--	200	added ('OK')	font/woff2	etag:W/%221ca8-195c6f76d38%22	https://klub-ada.si/_next/static/media/3f1e61821e00eafa-s.woff2	./klub-ada-site/klub-ada.si/_next/static/media/3f1e61821e00eafa-s.woff2	(from https://klub-ada.si/_next/static/css/fe96bb515dc0e17c.css)
03:30:34	21784/21784	---M--	200	added ('OK')	font/woff2	etag:W/%225518-195c6f76d38%22	https://klub-ada.si/_next/static/media/e15d8f8806c7d465-s.woff2	./klub-ada-site/klub-ada.si/_next/static/media/e15d8f8806c7d465-s.woff2	(from https://klub-ada.si/_next/static/css/fe96bb515dc0e17c.css)
03:30:36	109747/109747	---MCZ	200	added ('OK')	application/javascript	etag:W/%221acb3-195c6f76d38%22	https://klub-ada.si/_next/static/chunks/1714-02f54b435690074d.js	./klub-ada-site/klub-ada.si/_next/static/chunks/1714-02f54b435690074d.js	(from https://klub-ada.si/o-nas)
03:30:37	11183/11183	---MCZ	200	added ('OK')	application/javascript	etag:W/%222baf-195c6f76d38%22	https://klub-ada.si/_next/static/chunks/app/(website)/o-nas/page-59274d4217a723f6.js	./klub-ada-site/klub-ada.si/_next/static/chunks/app/(website)/o-nas/page-59274d4217a723f6.js	(from https://klub-ada.si/o-nas)
03:30:38	11436/11436	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222cac-195c6f5b3d0%22	https://klub-ada.si/assets/computer-illustration.svg	./klub-ada-site/klub-ada.si/assets/computer-illustration.svg	(from https://klub-ada.si/o-nas)
03:30:39	355506/355506	---M--	200	added ('OK')	image/jpeg	etag:5I1QK-RlDhErkoCrjfLEEUjdsKe0FW7dnLi2mDQ68xE	https://klub-ada.si/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fteam.968124dc.webp&w=3840&q=75	./klub-ada-site/klub-ada.si/_next/teamf3b6.jpeg	(from https://klub-ada.si/o-nas)
03:30:40	655/655	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2001%20May%202025%2022:00:40%20GMT	https://klub-ada.si/%22data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20240%20320'%3E%3Cfilter%20id='b'%20color-interpolation-filters='sRGB'%3E%3CfeGaussianBlur%20stdDeviation='20'/%3E%3CfeColorMatrix%20values='1%200%200%200%200%200%201%200%200%200%200%200%201%200%200%200%200%200%20100%20-1'%20result='s'/%3E%3CfeFlood%20x='0'%20y='0'%20width='100%25'%20height='100%25'/%3E%3CfeComposite%20operator='out'%20in='s'/%3E%3CfeComposite%20in2='SourceGraphic'/%3E%3CfeGaussianBlur%20stdDeviation='20'/%3E%3C/filter%3E%3Cimage%20width='100%25'%20height='100%25'%20x='0'%20y='0'%20preserveAspectRatio='none'%20style='filter:%20url(%23b	./klub-ada-site/klub-ada.si/_data_image/svg+xml;charset=utf-8,_svg%20xmlns='http_/www.w3.org/2000/svg'%20viewBox='0%200%20240%20320'__filter%20id='b'%20color/__feColorMatrix%20values='1%200%200%200%200%200%201%200%200%200%200%200/__feFlood%20x='0'%20y='0/filter__image%20width='10	(from https://klub-ada.si/o-nas)
